model,N,acceptancerate,base,combinator,rel
aircraft,100000.0,0.46989,16.494839375,11.667013959999998,0.7111393335642863
bayesian_network,100000.0,0.92019,34.93374625,8.38077771,0.24179087807733574
captcha,1000.0,0.779,1053.4932709999998,356.473813,0.34163143377467975
dirichlet_process,1000.0,0.536,176.7733854,NA,NA
geometric,50000.0,0.597622,6.936556249,NA,NA
gmm_fixed_numclust,50000.0,0.6409,158.33540624000003,25.32572375,0.15968871231480708
gmm_variable_numclust,50000.0,0.59874,161.96686583,29.962633330000003,0.18338344902744846
hmm,100000.0,0.7398,80.38449917,61.362649585,0.7609080753713271
hurricane,1000000.0,0.855208,3.667628396,7.1438917915,1.9566237919641867
lda_fixed_numtopic,10000.0,0.8089,399.032925,61.0657854,0.153896892165347
lda_variable_numtopic,10000.0,0.7553,406.28487915,67.4391042,0.16894965410710674
linear_regression,100000.0,0.04252,69.23022771000001,158.358183955,2.30330681090036
marsaglia,50000.0,0.930612,5.887213292,NA,NA
pcfg,10000.0,0.75314,16.692314165,NA,NA
pedestrian,10000.0,0.37515,6.877191665,NA,NA
urn,100000.0,0.54741,19.63890625,9.546489585,0.4870907624338243
