model,N,acceptancerate,base,combinator,rel
aircraft,100000,0.46989,16.416390829999997,11.05669209,0.6735154032635808
bayesian_network,100000,0.92019,35.30255,8.24098959,0.23343893259835335
captcha,1000,0.779,1068.30675,342.878167,0.3209547885005875
dirichlet_process,10000,0.536,173.0839875,NA,NA
geometric,500000,0.597622,6.552840166,NA,NA
gmm_fixed_numclust,50000,0.6409,158.8980275,25.83699334,0.16260109547300702
gmm_variable_numclust,50000,0.59874,164.99706583999998,30.06755668,0.18223085681509596
hmm,100000,0.7398,76.16054,59.003335830000005,0.7747231811906796
hurricane,1000000,0.855208,3.543204375,7.087940791,2.000432388549419
lda_fixed_numtopic,10000,0.8089,420.5559334,63.192637500000004,0.150259769227643
lda_variable_numtopic,10000,0.7553,406.8947333,66.9401041,0.1645145503779368
linear_regression,100000,0.04252,69.37007042,154.12670415999997,2.2218040608412575
marsaglia,500000,0.930612,5.716489,NA,NA
pedestrian,100000,0.37515,6.91340084,NA,NA
pcfg,100000,0.75314,17.466065829999998,NA,NA
urn,100000,0.54741,19.87095042,9.5227375,0.4792290906435667
aircraft,100000,0.46989,16.60291875,11.627838330000001,0.7003490473625308
bayesian_network,100000,0.92019,36.013043749999994,8.3921025,0.233029525586823
captcha,1000,0.779,1061.5365,361.81449999999995,0.3408403761905502
dirichlet_process,10000,0.536,184.0373166,NA,NA
geometric,500000,0.597622,7.076717834,NA,NA
gmm_fixed_numclust,50000,0.6409,160.32677334,25.414308339999998,0.1585156852505518
gmm_variable_numclust,50000,0.59874,152.7575525,29.323825,0.191963176419706
hmm,100000,0.7398,74.38493291,58.70723959,0.789235632719212
hurricane,1000000,0.855208,3.608999,7.171560166,1.9871327661769926
lda_fixed_numtopic,10000,0.8089,371.16305,58.693220800000006,0.15813325383547744
lda_variable_numtopic,10000,0.7553,389.351225,66.7687833,0.1714872819521757
linear_regression,100000,0.04252,64.81303958,173.18634625,2.6720911003754533
marsaglia,500000,0.930612,5.982115082,NA,NA
pedestrian,100000,0.37515,6.83448416,NA,NA
pcfg,100000,0.75314,17.31702833,NA,NA
urn,100000,0.54741,20.319096669999997,9.88596709,0.4865357574973337
aircraft,100000,0.46989,16.604356250000002,12.041411250000001,0.7251959105611215
bayesian_network,100000,0.92019,36.03860667,9.524695,0.2642914329961803
captcha,1000,0.779,1084.40475,385.45179099999996,0.35545011306894403
dirichlet_process,10000,0.536,177.9966042,NA,NA
geometric,500000,0.597622,7.33532725,NA,NA
gmm_fixed_numclust,50000,0.6409,164.8251425,25.60188666,0.15532755665598774
gmm_variable_numclust,50000,0.59874,161.99445915999996,30.139726659999997,0.18605405898624813
hmm,100000,0.7398,80.01037333,61.07655083,0.7633579033320079
hurricane,1000000,0.855208,3.411816083,6.889062708,2.019177628690485
lda_fixed_numtopic,10000,0.8089,399.87369160000003,60.8495208,0.1521718534583384
