model,N,acceptancerate,base,combinator,rel
aircraft,100000.0,0.46989,16.40659625,11.32354562,0.6940738893918084
bayesian_network,100000.0,0.93386,34.548970625,8.338384585,0.24620252580967214
captcha,1000.0,0.779,1047.961729,352.734729,0.3376222815530287
dirichlet_process,10000.0,0.536,174.8292458,NA,NA
geometric,500000.0,0.80729,4.295299125,NA,NA
gmm_fixed_numclust,50000.0,0.6409,156.722155,25.225744579999997,0.1626747799249797
gmm_variable_numclust,50000.0,0.59874,163.97933457,29.4528425,0.1793489394808086
hmm,100000.0,0.7398,78.66097791499999,59.814540835,0.7642395188474078
hurricane,1000000.0,0.855208,3.539037125,6.9283321045,1.9666689878712458
lda_fixed_numtopic,10000.0,0.8089,393.83608334999997,60.6586771,0.1552546302399112
lda_variable_numtopic,10000.0,0.7553,403.4411937,65.4573833,0.1638002888266969
linear_regression,100000.0,0.04252,68.85483708000001,155.891919165,2.269463947991306
marsaglia,500000.0,0.930612,5.7173845,NA,NA
pcfg,100000.0,0.75314,17.447667505,NA,NA
pedestrian,100000.0,0.37515,6.708575415,NA,NA
urn,100000.0,0.54741,19.345117295,9.42691458,0.48642369976749866
