model,acceptancerate,base,combinator,rel
aircraft,0.46989,16.71979083,11.740214589999999,0.7021747287014355
captcha,0.779,1038.648958,357.112459,0.34382401893287223
dirichlet_process,0.536,180.61380419999998,-,-
geometric,0.80729,4.282541416,-,-
gmm_fixed_numclust,0.6409,164.0184375,26.19223418,0.15969079195745906
gmm_variable_numclust,0.59874,166.73093749999998,30.22516082,0.18128105841184994
hmm_fixed_seqlen,0.7398,82.80817541999998,61.71513332999999,0.7452782653039164
hurricane,0.855208,3.641265542,7.157923375,1.9657790107415352
lda_fixed_numtopic,0.8089,360.6275375,60.302745800000004,0.1672161427772276
lda_variable_numtopic,0.7553,402.2453416,68.66845409999999,0.17071286351473805
linear_regression,0.04252,68.87748916999999,159.62233125,2.3174818532659938
marsaglia,0.930612,5.965642166,-,-
pcfg,0.75314,17.348778749999997,-,-
pedestrian,0.37515,6.50557958,-,-
urn,0.54741,20.48571,9.611362080000001,0.4691739793251003
