model,N,base,c3,rel
aircraft,10000.0,114.0695,113.6865,0.9957188795248483
bayesian_network,100000.0,382.812,414.0455,1.0832236740455685
captcha,1000.0,4803.5,4577.5,0.9534570909582611
dirichlet_process,100000.0,7037.5,6593.5,0.9359797462148706
geometric,1000000.0,1270.0,1760.5,1.3847030862583969
gmm_fixed_numclust,100000.0,5828.0,3308.5,0.5678337829343094
gmm_variable_numclust,100000.0,6030.5,3337.0,0.5516644056125315
hmm,100000.0,1972.5,513.608,0.26079403150041447
hurricane,1000000.0,1338.0,1462.5,1.0943243395302247
lda_fixed_numtopic,100000.0,8317.0,1089.5,0.13036729618858517
lda_variable_numtopic,100000.0,10014.0,1323.5,0.13213861344766153
linear_regression,100000.0,6964.0,15923.5,2.2869659841560104
marsaglia,1000000.0,1854.5,3500.0,1.890747299780932
pcfg,100000.0,829.7785,1053.0,1.2677590259979148
pedestrian,1000000.0,3840.5,8165.500000000001,2.125771731437934
urn,100000.0,537.8875,786.0255,1.463468364235847
