model,N,base,c3,rel
aircraft,10000.0,11.46085,11.214649999999999,0.9837083124696118
bayesian_network,100000.0,3.81745,4.141375,1.0802839461307032
captcha,1000.0,4799.5,4568.5,0.9533642259537198
dirichlet_process,10000.0,82.63810000000001,66.32745,0.8056455621217089
geometric,500000.0,1.302658,1.748666,1.3486511783209112
gmm_fixed_numclust,50000.0,58.95,30.91,0.5259048871634753
gmm_variable_numclust,50000.0,62.42,38.760000000000005,0.623921556132609
hmm,100000.0,19.68,5.1518749999999995,0.26176322150581893
lda_fixed_numtopic,10000.0,90.00219999999999,18.001150000000003,0.20112797432245036
lda_variable_numtopic,10000.0,128.75,17.70525,0.1376743242580883
linear_regression,100000.0,69.565,159.345,2.2966935006361986
marsaglia,500000.0,1.9340220000000001,3.6980000000000004,1.8990266334250112
pcfg,100000.0,8.307030000000001,10.5,1.267333810941032
pedestrian,100000.0,4.0907800000000005,7.97803,1.9358316678701124
urn,100000.0,5.3881950000000005,7.846155,1.451035517804181
