model,N,base,c3,rel
aircraft,10000,118.047,118.336,1.0024481774208578
bayesian_network,100000,395.496,476.208,1.2040779173493539
captcha,1000,4538.0,4336.0,0.9554869986778316
dirichlet_process,100000,7798.0,7457.0,0.9562708386765837
geometric,1000000,1303.0,1715.0,1.316193399846508
gmm_fixed_numclust,100000,5977.0,4637.0,0.77580726116781
gmm_variable_numclust,100000,6246.0,4327.0,0.6927633685558757
hmm,100000,2137.0,562.819,0.2633687412260178
hurricane,1000000,1335.0,1466.0,1.09812734082397
lda_fixed_numtopic,100000,9620.0,1173.0,0.12193347193347194
lda_variable_numtopic,100000,11413.0,1460.0,0.12792429685446421
linear_regression,100000,6598.0,29501.0,4.471203394968172
marsaglia,1000000,1855.0,3265.0,1.7601078167115902
pedestrian,1000000,4051.0,8745.0,2.1587262404344605
pcfg,100000,861.745,1129.0,1.3101323477362792
urn,100000,587.413,838.04,1.4266623312728863
aircraft,10000,114.595,114.12,0.9958549674942189
bayesian_network,100000,406.814,512.887,1.2607407807990874
captcha,1000,4540.0,4333.0,0.9544052863436123
dirichlet_process,100000,7622.0,7364.0,0.9661506166360535
geometric,1000000,1283.0,1711.0,1.3335931410756041
gmm_fixed_numclust,100000,5985.0,4308.0,0.7197994987468672
gmm_variable_numclust,100000,6219.0,4321.0,0.694806238945168
hmm,100000,2120.0,551.87,0.26031603773584905
hurricane,1000000,1329.0,1439.0,1.0827689992475547
lda_fixed_numtopic,100000,9484.0,1155.0,0.12178405735976382
lda_variable_numtopic,100000,11352.0,1403.0,0.12359055673009162
linear_regression,100000,6567.0,29484.0,4.489721333942439
marsaglia,1000000,1832.0,3301.0,1.8018558951965065
pedestrian,1000000,3835.0,8141.0,2.1228161668839634
pcfg,100000,870.196,1133.0,1.3020055251920257
urn,100000,555.308,764.651,1.3769853846874167
aircraft,10000,113.238,113.562,1.0028612303290414
bayesian_network,100000,392.342,479.0,1.2208736255613726
captcha,1000,4539.0,4338.0,0.9557171183079973
dirichlet_process,100000,7834.0,7675.0,0.9797038549910646
geometric,1000000,1364.0,1814.0,1.3299120234604105
gmm_fixed_numclust,100000,5983.0,4444.0,0.7427711850242353
gmm_variable_numclust,100000,6263.0,4623.0,0.7381446591090531
hmm,100000,2102.0,550.626,0.26195337773549
hurricane,1000000,1403.0,1533.0,1.0926585887384177
lda_fixed_numtopic,100000,9438.0,1256.0,0.13307904216995126
lda_variable_numtopic,100000,11386.0,1445.0,0.12691024064640788
linear_regression,100000,6572.0,29439.0,4.4794583079732195
marsaglia,1000000,1828.0,3310.0,1.8107221006564551
pedestrian,1000000,3831.0,8106.999999999999,2.1161576611850688
pcfg,100000,894.969,1132.0,1.2648482796610832
urn,100000,590.323,837.991,1.4195465872073425
aircraft,10000,117.06,119.227,1.01851187425252
bayesian_network,100000,394.5,477.88,1.2113561470215461
captcha,1000,4497.0,4303.0,0.9568601289748722
dirichlet_process,100000,8034.000000000001,8539.0,1.06285785411999
geometric,1000000,1282.0,1704.0,1.329173166926677
gmm_fixed_numclust,100000,6011.0,4426.0,0.7363167526201964
gmm_variable_numclust,100000,6228.0,4331.0,0.695407835581246
hmm,100000,2149.0,548.175,0.2550837598883201
hurricane,1000000,1346.0,1454.0,1.0802377414561664
lda_fixed_numtopic,100000,9472.0,1157.0,0.12214949324324324
lda_variable_numtopic,100000,11337.0,1449.0,0.12781159036782216
linear_regression,100000,6565.0,29576.0,4.505102817974105
marsaglia,1000000,1976.0,3634.0,1.8390688259109311
pedestrian,1000000,4075.0,8664.0,2.1261349693251534
pcfg,100000,868.982,1127.0,1.2969198441394645
urn,100000,587.554,829.452,1.4117034349183224
aircraft,10000,115.302,113.427,0.983738356663371
bayesian_network,100000,403.064,514.454,1.2763580969771549
captcha,1000,4548.0,4345.0,0.9553649956024626
dirichlet_process,100000,7731.0,7375.0,0.9539516233346268
geometric,1000000,1310.0,1714.0,1.3083969465648855
gmm_fixed_numclust,100000,6411.0,4844.0,0.7555763531430354
gmm_variable_numclust,100000,6219.0,4327.0,0.6957710242804309
hmm,100000,2264.0,575.255,0.25408789752650174
hurricane,1000000,1338.0,1452.0,1.0852017937219731
lda_fixed_numtopic,100000,9493.0,1161.0,0.12230064257874224
lda_variable_numtopic,100000,11334.0,1463.0,0.12908064231515792
linear_regression,100000,6589.0,29509.0,4.478524814084079
marsaglia,1000000,1967.0,3615.0,1.8378240976105744
pedestrian,1000000,3870.0,8166.0,2.110077519379845
pcfg,100000,870.809,1125.0,1.2919021277915135
urn,100000,555.058,761.994,1.372818696424518
aircraft,10000,120.544,120.953,1.0033929519511549
bayesian_network,100000,410.584,512.387,1.2479468269586733
captcha,1000,4536.0,4335.0,0.9556878306878307
dirichlet_process,100000,7636.0,7921.0,1.0373232058669462
geometric,1000000,1300.0,1709.0,1.3146153846153845
gmm_fixed_numclust,100000,5992.0,4433.0,0.7398197596795728
gmm_variable_numclust,100000,6264.0,4330.0,0.6912515964240102
hmm,100000,2107.0,553.596,0.2627413383958234
hurricane,1000000,1323.0,1452.0,1.0975056689342404
lda_fixed_numtopic,100000,9499.0,1170.0,0.12317086009053585
lda_variable_numtopic,100000,11452.0,1465.0,0.1279252532308767
linear_regression,100000,6575.0,29498.0,4.48638783269962
marsaglia,1000000,1825.0,3301.0,1.8087671232876712
pedestrian,1000000,3838.0,8119.0,2.1154247003647733
pcfg,100000,906.12,1186.0,1.3088774113803912
urn,100000,556.35,766.888,1.3784272490338816
aircraft,10000,114.11,112.966,0.989974585925861
bayesian_network,100000,392.324,480.017,1.2235218849726246
captcha,1000,4547.0,4346.0,0.9557950296899055
dirichlet_process,100000,7720.0,7916.0,1.0253886010362694
geometric,1000000,1289.0,1703.0,1.321179208688906
gmm_fixed_numclust,100000,6074.0,4604.0,0.7579848534738228
gmm_variable_numclust,100000,6251.0,4329.0,0.6925291953287473
hmm,100000,2115.0,551.282,0.2606534278959811
hurricane,1000000,1328.0,1446.0,1.088855421686747
lda_fixed_numtopic,100000,9457.0,1164.0,0.12308343026329703
lda_variable_numtopic,100000,11610.0,1491.0,0.12842377260981913
linear_regression,100000,6567.0,29500.0,4.492157758489417
marsaglia,1000000,1827.0,3312.0,1.812807881773399
pedestrian,1000000,3851.0,8082.000000000001,2.0986756686574917
pcfg,100000,899.229,1178.0,1.3100111317584286
urn,100000,550.617,760.807,1.3817353986527843
aircraft,10000,115.887,113.871,0.9826037433016646
bayesian_network,100000,394.907,478.226,1.2109838518942435
captcha,1000,4536.0,4335.0,0.9556878306878307
dirichlet_process,100000,7700.0,7815.0,1.014935064935065
geometric,1000000,1272.0,1705.0,1.3404088050314464
gmm_fixed_numclust,100000,6061.0,4331.0,0.7145685530440521
gmm_variable_numclust,100000,6261.0,4312.0,0.6887078741415109
hmm,100000,2227.0,573.411,0.25748136506511
hurricane,1000000,1340.0,1457.0,1.087313432835821
lda_fixed_numtopic,100000,9478.0,1163.0,0.12270521207005697
lda_variable_numtopic,100000,11303.0,1412.0,0.12492258692382553
linear_regression,100000,6546.0,29546.0,4.513596089214787
marsaglia,1000000,1968.0,3611.0,1.8348577235772359
pedestrian,1000000,3844.0,8369.0,2.177159209157128
pcfg,100000,871.718,1128.0,1.2939964529813541
urn,100000,581.448,836.827,1.4392121049517757
aircraft,10000,122.956,121.693,0.9897280327922183
bayesian_network,100000,395.951,478.106,1.2074877952069827
captcha,1000,4575.0,4361.0,0.953224043715847
dirichlet_process,100000,7689.0,7929.0,1.0312134217713618
geometric,1000000,1283.0,1713.0,1.3351519875292284
gmm_fixed_numclust,100000,6404.0,4659.0,0.7275140537164272
