model,N,base,c3,rel
aircraft,10000.0,115.59450000000001,114.0975,0.9933284947429923
bayesian_network,100000.0,395.2015,478.613,1.2221977552669987
captcha,1000.0,4539.5,4337.0,0.9556878306878308
dirichlet_process,100000.0,7725.5,7745.0,0.9973194599630648
geometric,1000000.0,1287.0,1710.0,1.3276216029185914
gmm_fixed_numclust,100000.0,6029.0,4438.5,0.7380682561498846
gmm_variable_numclust,100000.0,6248.5,4328.0,0.6929052344221225
hmm,100000.0,2131.0,557.4069999999999,0.26048473281591505
hurricane,1000000.0,1337.5,1455.5,1.0907570052125823
lda_fixed_numtopic,100000.0,9488.5,1164.5,0.12259748039103724
lda_variable_numtopic,100000.0,11379.0,1460.0,0.12792477504267044
linear_regression,100000.0,6573.5,29505.0,4.48323933648607
marsaglia,1000000.0,1833.0,3320.5,1.8139830030459143
pcfg,100000.0,871.2635,1129.0,1.299462684665745
pedestrian,1000000.0,3841.0,8131.0,2.1197919251499213
urn,100000.0,555.829,765.7695,1.3828728418348906
