model,N,acceptancerate,none,static,rel_static,finite,rel_finite,custom,rel_custom
aircraft,100000,0.47291,5.791950420000001,4.68949041,0.8096565180887718,NA,NA,NA,NA
bayesian_network,100000,0.93188,24.840547919999995,4.57206583,0.18405656126123005,3.2880608300000005,0.1323666788908737,NA,NA
captcha,1000,0.8149999999999997,804.926292,362.457792,0.4502993573478651,NA,NA,NA,NA
dirichlet_process,10000,0.531,90.58072499999999,43.0787458,0.47558402518858184,NA,NA,NA,NA
geometric,500000,0.617016,2.448379168,2.516762834,1.0279301780107286,NA,NA,NA,NA
gmm_fixed_numclust,50000,0.5976600000000001,70.77928084,6.9733741600000005,0.09852281737311872,4.43943668,0.0627222631724044,3.61898,0.05113049973170651
gmm_variable_numclust,50000,0.5735000000000001,76.99369582000001,9.30118166,0.12080445757201734,NA,NA,NA,NA
hmm,100000,0.7401899999999999,34.92173167,25.219265000000004,0.7221653621966566,2.51656083,0.07206288776801657,NA,NA
hurricane,1000000,0.855102,2.273906,2.009167708,0.8835755339050954,NA,NA,NA,NA
lda_fixed_numtopic,10000,0.8071,215.1429,26.9009917,0.12503778511863511,19.5088625,0.09067862569482889,6.0436417,0.02809129048646272
lda_variable_numtopic,10000,0.8261000000000001,208.67663749999997,25.656012500000003,0.12294626177307465,NA,NA,NA,NA
linear_regression,100000,0.53063,7.297585840000001,13.051807499999999,1.7885103082254388,12.873308329999999,1.7640502780300282,NA,NA
marsaglia,500000,0.9307580000000001,1.9134075,2.2317105,1.1663540045703804,NA,NA,NA,NA
pcfg,100000,0.75103,10.46755708,8.93160166,0.8532651498089562,NA,NA,NA,NA
pedestrian,100000,0.37377999999999995,4.0918570899999995,4.08348125,0.9979530467912799,NA,NA,NA,NA
urn,100000,0.52117,12.70173875,7.03815333,0.5541094387569575,NA,NA,NA,NA
hmm_unrolled,100000,0.7401899999999999,35.70243916,2.6637062500000006,0.07460852290967115,NA,NA,NA,NA
