model,N,none,static,rel_static,finite,rel_finite,custom,rel_custom
aircraft,10000,8.594583400000001,6.9596124999999995,0.8097672890113555,NA,NA,NA,NA
bayesian_network,10000,20.5016583,3.6321833,0.17716534179091256,2.6946084,0.13143368017210588,NA,NA
captcha,100,908.70042,366.27250000000004,0.4030728851209291,NA,NA,NA,NA
dirichlet_process,1000,69.444417,44.103708,0.635093646189009,NA,NA,NA,NA
geometric,50000,0.6865308400000001,0.53469916,0.7788421566028991,NA,NA,NA,NA
gmm_fixed_numclust,5000,47.50484159999999,4.070825,0.08569284441104211,2.9794666,0.06271921976053911,2.2191416,0.04671400904113319
gmm_variable_numclust,5000,49.4483416,4.6877584,0.09480112473579903,NA,NA,NA,NA
hmm,10000,18.053770800000002,17.7940708,0.98561519347526,1.14275,0.06329702601519678,NA,NA
hurricane,100000,0.88085541,0.6691454199999999,0.759654095784006,NA,NA,NA,NA
lda_fixed_numtopic,1000,140.84145800000002,32.831583,0.23311021815749733,15.634584,0.11100839356547984,2.718917,0.019304805833520976
lda_variable_numtopic,1000,125.00999999999999,17.966375,0.1437195024398048,NA,NA,NA,NA
linear_regression,10000,3.6746084,7.242850000000001,1.9710535685925066,7.2935457999999995,1.9848498142006097,NA,NA
marsaglia,50000,0.7757716600000001,0.66083668,0.8518443171796195,NA,NA,NA,NA
pedestrian,10000,4.4961542,4.784854200000001,1.064210431216972,NA,NA,NA,NA
pcfg,10000,6.0565666,5.4825792,0.9052289130280512,NA,NA,NA,NA
urn,10000,9.434925,6.5072875,0.6897020909016235,NA,NA,NA,NA
hmm_unrolled,10000,18.0082625,1.4734792,0.08182239680257883,NA,NA,NA,NA
