model,n_particles,time
dirichlet_process,100,5.5676499999999995
gmm_fixed_numclust,100,2.9739667
gmm_variable_numclust,100,3.1311083
hmm,100,1.0799291000000002
lda_fixed_numtopic,100,9.8771
lda_variable_numtopic,100,9.026258299999999
dirichlet_process,100,5.1649541
gmm_fixed_numclust,100,2.6287375
gmm_variable_numclust,100,2.9119124999999997
hmm,100,1.045575
lda_fixed_numtopic,100,8.999175
lda_variable_numtopic,100,9.2231208
dirichlet_process,100,5.0757959
gmm_fixed_numclust,100,2.625525
gmm_variable_numclust,100,3.158725
hmm,100,1.0872333
lda_fixed_numtopic,100,9.179587499999998
lda_variable_numtopic,100,9.1150291
dirichlet_process,100,5.2890541
gmm_fixed_numclust,100,2.358875
gmm_variable_numclust,100,2.82375
hmm,100,1.0537458
lda_fixed_numtopic,100,7.909383400000001
lda_variable_numtopic,100,8.946941599999999
dirichlet_process,100,5.0200792000000005
gmm_fixed_numclust,100,2.836
gmm_variable_numclust,100,2.7518333
hmm,100,1.0952042000000002
lda_fixed_numtopic,100,8.6038084
lda_variable_numtopic,100,8.802737500000001
dirichlet_process,100,5.3482875
gmm_fixed_numclust,100,2.6370166
gmm_variable_numclust,100,2.6294708
hmm,100,1.01315
lda_fixed_numtopic,100,8.7897334
lda_variable_numtopic,100,8.752066600000001
dirichlet_process,100,5.8553291
gmm_fixed_numclust,100,2.77305
gmm_variable_numclust,100,3.1685166
hmm,100,1.1029625
lda_fixed_numtopic,100,8.530320800000002
lda_variable_numtopic,100,10.289625000000001
dirichlet_process,100,5.0651
gmm_fixed_numclust,100,2.9676333
gmm_variable_numclust,100,2.8408167
hmm,100,1.2735750000000001
lda_fixed_numtopic,100,8.3777833
lda_variable_numtopic,100,9.3165791
dirichlet_process,100,5.695675
gmm_fixed_numclust,100,3.0547417
gmm_variable_numclust,100,2.7562042
hmm,100,1.2376917
lda_fixed_numtopic,100,8.858258300000001
lda_variable_numtopic,100,8.7240416
dirichlet_process,100,5.020675000000001
gmm_fixed_numclust,100,2.37425
gmm_variable_numclust,100,2.7314917000000003
hmm,100,1.2080000000000002
lda_fixed_numtopic,100,7.8364375
lda_variable_numtopic,100,9.1065541
