model,N,acceptancerate,none,static,rel_static,finite,rel_finite,custom,rel_custom
aircraft,100000.0,0.47291,5.8613656249999995,4.60516708,0.7781202889732037,NA,NA,NA,NA
bayesian_network,100000.0,0.93244,25.579880000000003,4.679561665,0.18295119538471272,3.3442414599999997,0.1300054493729505,NA,NA
captcha,1000.0,0.8149999999999997,774.2868960000001,355.38208299999997,0.4589781289704852,NA,NA,NA,NA
dirichlet_process,10000.0,0.531,89.9385854,42.66408955,0.4716747024373352,NA,NA,NA,NA
geometric,500000.0,0.8066899999999999,1.507527834,1.789499959,1.1831631112133785,NA,NA,NA,NA
gmm_fixed_numclust,50000.0,0.5976600000000001,71.13614209,7.026828329999999,0.09985871001897995,4.5643987599999996,0.06416360461219965,3.74216624,0.052389759446037104
gmm_variable_numclust,50000.0,0.5735000000000001,74.70889957,9.548985,0.12799009711549025,NA,NA,NA,NA
hmm,100000.0,0.7401899999999999,33.72934728999999,24.015900415,0.7210162502123001,2.550606665,0.07557941303721745,NA,NA
hmm_unrolled,100000.0,0.7401899999999999,35.445258745000004,2.60515687,0.0741698933402357,NA,NA,NA,NA
hurricane,1000000.0,0.855102,2.121071875,1.9175630625000002,0.8862507695122199,NA,NA,NA,NA
lda_fixed_numtopic,10000.0,0.8071,209.0459458,24.526189600000002,0.11742534393953655,18.34107085,0.0881948091291393,5.830379150000001,0.027849007459847502
lda_variable_numtopic,10000.0,0.8261000000000001,218.6137354,25.731816699999996,0.11766824631708955,NA,NA,NA,NA
linear_regression,100000.0,0.53063,4.4765191699999995,8.00578979,1.798743681609043,7.503862715,1.6823422460140678,NA,NA
marsaglia,500000.0,0.930758,1.6986285840000002,2.159270792,1.2654539612736735,NA,NA,NA,NA
pcfg,100000.0,0.75103,10.219627294999999,8.437423335000002,0.8282495788934912,NA,NA,NA,NA
pedestrian,100000.0,0.3737799999999999,3.709189165,3.6452354199999997,0.9794980443828019,NA,NA,NA,NA
urn,100000.0,0.52117,11.97896479,6.353778125,0.5309369391015051,NA,NA,NA,NA
