model,N,acceptancerate,none,static,rel_static,finite,rel_finite,custom,rel_custom
aircraft,100000,0.47291,5.68439958,4.390255000000001,0.772333988526542,NA,NA,NA,NA
bayesian_network,100000,0.9324399999999999,25.55927334,4.59717417,0.17986325780261794,3.27985333,0.12832341852485543,NA,NA
captcha,1000,0.8149999999999997,771.48025,353.72637499999996,0.45850347432743743,NA,NA,NA,NA
dirichlet_process,10000,0.531,88.8118417,42.1752916,0.4748836505661609,NA,NA,NA,NA
geometric,500000,0.617016,2.462637,2.391328418,0.971043811166648,NA,NA,NA,NA
gmm_fixed_numclust,50000,0.5976600000000001,67.99347,6.68539416,0.09832406200183635,4.1877416599999995,0.061590350661614994,3.48047166,0.051188322349190296
gmm_variable_numclust,50000,0.5735000000000001,73.25170250000001,9.6608325,0.13188543296997088,NA,NA,NA,NA
hmm,100000,0.7401899999999999,33.32694833,23.42800125,0.7029746923726214,2.41449417,0.07244870265623866,NA,NA
hurricane,1000000,0.855102,2.050348791,1.774509375,0.8654670770110939,NA,NA,NA,NA
lda_fixed_numtopic,10000,0.8071,204.8393833,23.626720900000002,0.11534266760312005,18.172220799999998,0.08871448696653052,5.817870800000001,0.02840211050371777
lda_variable_numtopic,10000,0.8261000000000001,218.57727500000001,26.4024834,0.12079244468575244,NA,NA,NA,NA
linear_regression,100000,0.53063,6.90590833,13.01292042,1.8843169932433785,12.45312709,1.803256935210433,NA,NA
marsaglia,500000,0.9307580000000001,1.670750168,2.122146168,1.2701756424423116,NA,NA,NA,NA
pedestrian,100000,0.37377999999999995,3.5668058400000002,3.6912504200000003,1.0348896423249099,NA,NA,NA,NA
pcfg,100000,0.75103,10.314232500000001,8.60142125,0.8339371106866167,NA,NA,NA,NA
urn,100000,0.52117,11.66050209,6.31878792,0.5418967271931598,NA,NA,NA,NA
hmm_unrolled,100000,0.7401899999999999,35.54185208,2.56563042,0.07218617685496823,NA,NA,NA,NA
aircraft,100000,0.47291,5.59755291,4.2486299999999995,0.7590156034809147,NA,NA,NA,NA
bayesian_network,100000,0.9324399999999999,25.27784542,4.57647917,0.1810470431304663,3.2292054199999995,0.12774844399693303,NA,NA
captcha,1000,0.8149999999999997,777.447042,345.66700000000003,0.44461806570228096,NA,NA,NA,NA
dirichlet_process,10000,0.531,87.0504959,41.078558300000005,0.47189344386032384,NA,NA,NA,NA
geometric,500000,0.617016,2.391919334,2.47550075,1.03494324194463,NA,NA,NA,NA
gmm_fixed_numclust,50000,0.5976600000000001,67.04580999999999,6.69583666,0.09986957663722759,4.22260666,0.06298091797235353,3.51801084,0.05247174789893656
gmm_variable_numclust,50000,0.5735000000000001,74.524635,9.46724584,0.1270351185215466,NA,NA,NA,NA
hmm,100000,0.7401899999999999,32.535512499999996,23.370849589999995,0.7183181635758772,2.50926333,0.07712382984592606,NA,NA
hurricane,1000000,0.855102,2.061080209,1.806598875,0.8765301161552224,NA,NA,NA,NA
lda_fixed_numtopic,10000,0.8071,207.40796659999998,24.5017375,0.11813305873275941,19.688924999999998,0.09492848959833541,5.7099042,0.02752982102665289
lda_variable_numtopic,10000,0.8261000000000001,213.618775,24.8553708,0.11635386824027992,NA,NA,NA,NA
linear_regression,100000,0.53063,4.42687542,7.999125409999999,1.8069461304153887,7.4528520899999995,1.6835468322259675,NA,NA
marsaglia,500000,0.9307580000000001,1.668774,2.10387725,1.2607322801050354,NA,NA,NA,NA
pedestrian,100000,0.37377999999999995,3.6143525,3.5364537499999997,0.978447384420861,NA,NA,NA,NA
pcfg,100000,0.75103,10.23134917,8.55954875,0.8366001988377062,NA,NA,NA,NA
urn,100000,0.52117,11.90338625,6.27421042,0.5270945836946188,NA,NA,NA,NA
hmm_unrolled,100000,0.7401899999999999,35.42815833,2.60038333,0.0733987724052265,NA,NA,NA,NA
aircraft,100000,0.47291,6.03693333,4.7018837499999995,0.7788530190708598,NA,NA,NA,NA
bayesian_network,100000,0.9324399999999999,25.20621084,4.64609875,0.18432356927789625,3.3429179199999997,0.13262278655128473,NA,NA
captcha,1000,0.8149999999999997,777.0935420000001,357.03779099999997,0.45945278361353303,NA,NA,NA,NA
dirichlet_process,10000,0.531,88.51461250000001,41.7307417,0.47145596101434667,NA,NA,NA,NA
geometric,500000,0.617016,2.352635,2.488110584,1.057584616398209,NA,NA,NA,NA
gmm_fixed_numclust,50000,0.5976600000000001,73.82853,7.3144925,0.09907406391539965,5.0635775,0.06858564703915954,3.86180584,0.05230777099313775
gmm_variable_numclust,50000,0.5735000000000001,74.70649582,9.41492584,0.1260255314703101,NA,NA,NA,NA
hmm,100000,0.7401899999999999,33.02158167,23.89819208,0.7237143368487231,2.4122879100000003,0.07305185845145497,NA,NA
hurricane,1000000,0.855102,2.156361625,1.9549076249999997,0.9065768943091813,NA,NA,NA,NA
lda_fixed_numtopic,10000,0.8071,213.3599125,25.038358300000002,0.11735268357873928,18.3048084,0.08579310042602309,5.8880959,0.02759701122393364
lda_variable_numtopic,10000,0.8261000000000001,226.27297919999998,26.441645899999997,0.11685728447773935,NA,NA,NA,NA
linear_regression,100000,0.53063,4.41000542,7.91882375,1.795649437092982,7.35279666,1.6672987807801833,NA,NA
marsaglia,500000,0.9307580000000001,1.697448668,2.095552166,1.2345305077584827,NA,NA,NA,NA
pedestrian,100000,0.37377999999999995,3.6340075,3.50108667,0.9634230721868351,NA,NA,NA,NA
pcfg,100000,0.75103,10.159994999999999,8.448760830000001,0.8315713570725184,NA,NA,NA,NA
urn,100000,0.52117,11.98418625,6.3339687499999995,0.5285272289555746,NA,NA,NA,NA
hmm_unrolled,100000,0.7401899999999999,33.89984083,2.6099304099999996,0.0769894591272038,NA,NA,NA,NA
aircraft,100000,0.47291,5.85614375,4.598820000000001,0.7852983458611309,NA,NA,NA,NA
bayesian_network,100000,0.9324399999999999,26.49041167,4.8420979200000005,0.18278681284079873,3.38299292,0.1277063173703408,NA,NA
captcha,1000,0.8149999999999997,779.407292,348.053583,0.44656187666255504,NA,NA,NA,NA
dirichlet_process,10000,0.531,88.8630875,44.677725,0.5027703431978998,NA,NA,NA,NA
geometric,500000,0.617016,2.44656725,2.490478918,1.017948277530487,NA,NA,NA,NA
gmm_fixed_numclust,50000,0.5976600000000001,68.66409084,6.76423084,0.09851191149915471,4.243516680000001,0.06180110488738834,3.53375666,0.051464406165870676
gmm_variable_numclust,50000,0.5735000000000001,73.24381,9.488065,0.12954084447545808,NA,NA,NA,NA
hmm,100000,0.7401899999999999,32.82314959,23.463647500000004,0.714850579334669,2.44309083,0.07443194393338533,NA,NA
hurricane,1000000,0.855102,2.111979,1.876572916,0.8885376776947119,NA,NA,NA,NA
lda_fixed_numtopic,10000,0.8071,211.1618,25.089904200000003,0.11881838571180964,18.2256709,0.08631140149402022,5.8758416,0.02782625266501801
lda_variable_numtopic,10000,0.8261000000000001,222.0651459,25.8036334,0.11619848443762465,NA,NA,NA,NA
linear_regression,100000,0.53063,4.453651249999999,7.922025409999999,1.7787709376660332,7.48720084,1.6811376598021681,NA,NA
marsaglia,500000,0.9307580000000001,1.773149916,2.1837455,1.2315628138912538,NA,NA,NA,NA
pedestrian,100000,0.37377999999999995,3.66267375,3.59143,0.9805487043447427,NA,NA,NA,NA
pcfg,100000,0.75103,9.994905,8.245075,0.824927800714464,NA,NA,NA,NA
urn,100000,0.52117,11.85093875,6.29833416,0.5314628902288436,NA,NA,NA,NA
hmm_unrolled,100000,0.7401899999999999,35.46235916,2.583285,0.0728458303731195,NA,NA,NA,NA
aircraft,100000,0.47291,6.02059792,4.68033792,0.7773875588755477,NA,NA,NA,NA
bayesian_network,100000,0.9324399999999999,25.64238375,4.67127542,0.1821700925133374,3.3531216699999997,0.1307648190079052,NA,NA
captcha,1000,0.8149999999999997,757.1791249999999,373.64795899999996,0.4934736664854568,NA,NA,NA,NA
dirichlet_process,10000,0.531,90.7544625,43.1588916,0.47555668791493305,NA,NA,NA,NA
geometric,500000,0.617016,2.501012082,2.403358332,0.9609543069772343,NA,NA,NA,NA
gmm_fixed_numclust,50000,0.5976600000000001,73.73954834,7.416390000000001,0.10057547363599706,5.06099168,0.06863334254048674,4.003013320000001,0.05428583996124867
gmm_variable_numclust,50000,0.5735000000000001,73.17131918,9.30751916,0.1272017405768466,NA,NA,NA,NA
hmm,100000,0.7401899999999999,33.67718375,23.763871669999997,0.7056371413479607,2.4042962500000002,0.07139243791428967,NA,NA
hurricane,1000000,0.855102,2.173115375,1.920955458,0.883963861329728,NA,NA,NA,NA
lda_fixed_numtopic,10000,0.8071,209.60713750000002,24.046608300000003,0.11472227800448827,18.3773333,0.0876751312917481,5.9293833,0.02828807916905978
lda_variable_numtopic,10000,0.8261000000000001,218.6501958,26.823475000000002,0.12267757136854118,NA,NA,NA,NA
linear_regression,100000,0.53063,4.46441,8.501306249999999,1.9042395859699266,8.21508417,1.8401276249269223,NA,NA
marsaglia,500000,0.9307580000000001,1.693919918,2.126130416,1.255154032612302,NA,NA,NA,NA
pedestrian,100000,0.37377999999999995,3.5457375000000004,3.59922042,1.0150837223567735,NA,NA,NA,NA
pcfg,100000,0.75103,10.252454580000002,8.42608584,0.8218603432232907,NA,NA,NA,NA
urn,100000,0.52117,13.03811834,6.94948375,0.5330127836529516,NA,NA,NA,NA
hmm_unrolled,100000,0.7401899999999999,34.43426833,2.5949974999999994,0.07536090138843382,NA,NA,NA,NA
aircraft,100000,0.47291,5.907525,4.6553108299999995,0.7880306608943678,NA,NA,NA,NA
bayesian_network,100000,0.9324399999999999,25.61368791,4.65753209,0.18183762160159778,3.31046875,0.12924607973799584,NA,NA
captcha,1000,0.8149999999999997,766.129708,348.69795899999997,0.4551421976707892,NA,NA,NA,NA
dirichlet_process,10000,0.531,91.91317500000001,43.1755791,0.469743092869983,NA,NA,NA,NA
geometric,500000,0.617016,2.274274416,2.474230418,1.0879207894145349,NA,NA,NA,NA
gmm_fixed_numclust,50000,0.5976600000000001,69.50073166,6.939956659999999,0.09985444029496711,4.4164075,0.06354476268832995,3.75890418,0.054084382857848036
gmm_variable_numclust,50000,0.5735000000000001,74.71130332,9.609905,0.12862718990243416,NA,NA,NA,NA
hmm,100000,0.7401899999999999,35.70530000000001,26.81803875,0.7510940602655627,3.05839542,0.08565662296633832,NA,NA
hurricane,1000000,0.855102,2.098450125,1.810822792,0.8629334433192689,NA,NA,NA,NA
lda_fixed_numtopic,10000,0.8071,211.9656708,24.550641700000003,0.1158236690278245,18.202025,0.08587251384293498,5.5779166,0.02631518858194277
lda_variable_numtopic,10000,0.8261000000000001,234.9382833,28.145049999999998,0.11979763197665283,NA,NA,NA,NA
linear_regression,100000,0.53063,4.535022499999999,7.969637909999999,1.7573535544751984,7.48185084,1.6497935434719453,NA,NA
marsaglia,500000,0.9307580000000001,1.6998085,2.160235084,1.2708696797315695,NA,NA,NA,NA
