model,N,none,static,rel_static,finite,rel_finite,custom,rel_custom
aircraft,10000.0,8.337037500000001,7.08178545,0.852549589910007,NA,NA,NA,NA
bayesian_network,10000.0,17.871516650000004,3.7448062,0.21565827586140113,2.68456875,0.1527393414511669,NA,NA
captcha,100.0,906.44479,377.70916500000004,0.4173764991293485,NA,NA,NA,NA
dirichlet_process,1000.0,68.313917,42.395832999999996,0.6233853027786189,NA,NA,NA,NA
geometric,50000.0,0.73565584,0.61523708,0.8366997035459086,NA,NA,NA,NA
gmm_fixed_numclust,5000.0,52.3951916,4.6130416,0.08838060385580825,3.2361167,0.06361119470996085,2.400875,0.046711708355344606
gmm_variable_numclust,5000.0,53.209170799999995,5.159191699999999,0.0960312367377658,NA,NA,NA,NA
hmm,10000.0,19.39290625,17.6837792,0.916861052800918,1.2853708,0.0636658529450544,NA,NA
hmm_unrolled,10000.0,21.33574585,1.6342063,0.07668334037173641,NA,NA,NA,NA
hurricane,100000.0,0.902323745,0.70683542,0.7836108229017877,NA,NA,NA,NA
lda_fixed_numtopic,1000.0,143.5022705,33.254374999999996,0.23238179811126325,14.681646,0.10195606990818534,2.570292,0.0175728524848526
lda_variable_numtopic,1000.0,137.7371455,19.512542,0.14405953456445547,NA,NA,NA,NA
linear_regression,10000.0,4.192175000000001,7.7372896,1.9081405261019073,7.8999167,1.9924863297697502,NA,NA
marsaglia,50000.0,0.8407145899999999,0.7401141600000001,0.8675045640426765,NA,NA,NA,NA
pcfg,10000.0,7.0615729,6.245622900000001,0.881068821181285,NA,NA,NA,NA
pedestrian,10000.0,4.4055458,3.99631045,0.9239866212957801,NA,NA,NA,NA
urn,10000.0,9.151927050000001,6.5596625,0.7119309179022544,NA,NA,NA,NA
