model,N,none,static,rel_static,finite,rel_finite,custom,rel_custom
aircraft,10000,8.4120583,7.2411332999999996,0.8608039842044365,NA,NA,NA,NA
bayesian_network,10000,17.2849458,3.7593582999999997,0.21749320729718458,2.6431333,0.1529153363038026,NA,NA
captcha,100,879.6374999999999,375.18541000000005,0.4265227551121912,NA,NA,NA,NA
dirichlet_process,1000,69.52033300000001,42.539166,0.6118953141378076,NA,NA,NA,NA
geometric,50000,0.70645668,0.58453084,0.8274121493196159,NA,NA,NA,NA
gmm_fixed_numclust,5000,55.056308200000004,4.524866599999999,0.08218616082216713,2.972975,0.0539988077151893,2.1543084,0.039129183747195026
gmm_variable_numclust,5000,51.808291600000004,4.94585,0.0954644487833295,NA,NA,NA,NA
hmm,10000,19.273325,17.7081292,0.9187895290511627,1.2824916,0.06654231171839836,NA,NA
hurricane,100000,1.1078170800000002,0.81511292,0.7357829507376794,NA,NA,NA,NA
lda_fixed_numtopic,1000,148.69970800000002,34.787667,0.23394576538105913,15.580333000000001,0.1047771593472127,2.33125,0.01567756945427223
lda_variable_numtopic,1000,151.573667,20.63,0.13610543578126932,NA,NA,NA,NA
linear_regression,10000,4.2021833,7.7072875000000005,1.834115018257295,7.5978209,1.8080650836911374,NA,NA
marsaglia,50000,0.9164233400000001,0.90814916,0.9909712251545229,NA,NA,NA,NA
pedestrian,10000,5.08775,5.1193334,1.0062077342636726,NA,NA,NA,NA
pcfg,10000,7.547974999999999,6.357220800000001,0.8422418993173667,NA,NA,NA,NA
urn,10000,10.2823417,7.2875959,0.7087486598505086,NA,NA,NA,NA
hmm_unrolled,10000,21.8338,1.6584333,0.0759571535875569,NA,NA,NA,NA
aircraft,10000,7.7989708,7.098725,0.9102130501629779,NA,NA,NA,NA
bayesian_network,10000,17.852529200000003,3.8172875,0.21382334442561782,2.7236415999999997,0.15256334659853124,NA,NA
captcha,100,890.3541700000001,395.85958,0.4446091154938938,NA,NA,NA,NA
dirichlet_process,1000,73.00879200000001,46.338833,0.6347020917699884,NA,NA,NA,NA
geometric,50000,0.7753649999999999,0.57994832,0.7479681440353899,NA,NA,NA,NA
gmm_fixed_numclust,5000,53.846025,4.7537582,0.08828429210884184,3.2332668000000004,0.060046527111332744,2.3167,0.04302453152298615
gmm_variable_numclust,5000,55.56861680000001,5.2906249999999995,0.09520886616706284,NA,NA,NA,NA
hmm,10000,21.773116700000003,20.395158300000002,0.9367128547104144,1.3369541999999999,0.061403896301166654,NA,NA
hurricane,100000,0.86957459,0.67142958,0.7721356945354164,NA,NA,NA,NA
lda_fixed_numtopic,1000,148.14304099999998,33.927499999999995,0.22901852001269501,15.600208000000002,0.10530503420677048,2.645708,0.017859144662758748
lda_variable_numtopic,1000,144.541708,21.477166999999998,0.1485880255406972,NA,NA,NA,NA
linear_regression,10000,3.826770899999999,7.3505417,1.9208209459312031,7.5145417000000005,1.963676921448316,NA,NA
marsaglia,50000,0.8589375,0.7155325,0.8330437313541439,NA,NA,NA,NA
pedestrian,10000,4.5468417,4.4809125,0.985500001022688,NA,NA,NA,NA
pcfg,10000,7.7273916,6.8171833,0.8822101496706858,NA,NA,NA,NA
urn,10000,9.1671291,6.38875,0.6969193877721216,NA,NA,NA,NA
hmm_unrolled,10000,21.736558300000002,1.6826167,0.07740952715591594,NA,NA,NA,NA
aircraft,10000,8.944312499999999,7.0648459,0.7898701996380382,NA,NA,NA,NA
bayesian_network,10000,21.3169708,3.5629708000000004,0.167142453467169,2.6843334,0.12592471159176144,NA,NA
captcha,100,896.8375000000001,371.50750000000005,0.4142417104547925,NA,NA,NA,NA
dirichlet_process,1000,72.69804200000002,45.726209,0.628988178251073,NA,NA,NA,NA
geometric,50000,0.800545,0.6236475,0.7790286617242004,NA,NA,NA,NA
gmm_fixed_numclust,5000,55.89735,5.1171584,0.09154563498985192,3.6151000000000004,0.06467390672366401,2.7429584,0.04907134953624814
gmm_variable_numclust,5000,66.64527500000001,5.7631834,0.08647549882568568,NA,NA,NA,NA
hmm,10000,22.488516699999998,20.5259,0.9127280502230724,1.3886542,0.06174947945766473,NA,NA
hurricane,100000,0.86219291,0.70218917,0.8144223431389618,NA,NA,NA,NA
lda_fixed_numtopic,1000,135.772042,33.231625,0.24476044191778454,14.65525,0.10794011627224402,2.557584,0.0188373391334867
lda_variable_numtopic,1000,130.853,16.72775,0.1278361978708933,NA,NA,NA,NA
linear_regression,10000,3.7982084,7.291250000000001,1.91965506684678,7.852445800000001,2.0674078336512554,NA,NA
marsaglia,50000,0.82874332,0.7362575,0.8884023342716055,NA,NA,NA,NA
pedestrian,10000,4.4368291,3.8993874999999996,0.878868086219503,NA,NA,NA,NA
pcfg,10000,6.8355041000000005,6.5201625,0.9538671039638464,NA,NA,NA,NA
urn,10000,10.130025,7.1580583,0.7066180290769273,NA,NA,NA,NA
hmm_unrolled,10000,20.9101291,1.5607833,0.0746424516336439,NA,NA,NA,NA
aircraft,10000,9.06655,7.420604099999999,0.8184595132657958,NA,NA,NA,NA
bayesian_network,10000,16.834895799999998,3.7949208,0.22541991617197893,2.6479834,0.15729134480297766,NA,NA
captcha,100,904.34625,367.64083,0.4065266262783751,NA,NA,NA,NA
dirichlet_process,1000,67.99199999999999,48.993958,0.7205841569596423,NA,NA,NA,NA
geometric,50000,0.7518275000000001,0.6460708199999999,0.8593338498525259,NA,NA,NA,NA
gmm_fixed_numclust,5000,50.2244,4.4437,0.08847691560277474,3.2269583999999996,0.06425081036309044,2.4546249999999996,0.04887315727017147
gmm_variable_numclust,5000,55.275833399999996,5.082641799999999,0.09195052317383966,NA,NA,NA,NA
hmm,10000,19.1814042,17.273250000000004,0.9005206198616055,1.1818167,0.061612626879527406,NA,NA
hurricane,100000,0.9948587500000001,0.8153137500000001,0.8195271439287235,NA,NA,NA,NA
lda_fixed_numtopic,1000,143.659458,36.631042,0.25498524434082165,14.009333,0.09751765177897304,2.6031250000000004,0.018120108736592897
lda_variable_numtopic,1000,130.02612499999998,18.570792,0.14282354411469236,NA,NA,NA,NA
linear_regression,10000,4.231012499999999,8.004725,1.8919171238562873,7.9016041999999995,1.8675445180083963,NA,NA
marsaglia,50000,0.8399291799999999,0.6835525000000001,0.8138215891011193,NA,NA,NA,NA
pedestrian,10000,4.2342,3.7748292,0.8915094232676776,NA,NA,NA,NA
pcfg,10000,6.9696375,5.689962500000001,0.8163928898741147,NA,NA,NA,NA
urn,10000,9.136725,6.6832082999999995,0.7314665046830237,NA,NA,NA,NA
hmm_unrolled,10000,18.8172083,1.5604125,0.08292476094873223,NA,NA,NA,NA
aircraft,10000,8.2620167,6.9063666999999995,0.8359177850608799,NA,NA,NA,NA
bayesian_network,10000,17.8905041,3.9135875,0.2187522206263601,2.8243583,0.15786912902023817,NA,NA
captcha,100,917.9758300000001,387.8125,0.4224648267700033,NA,NA,NA,NA
dirichlet_process,1000,69.798583,42.2525,0.6053489653221183,NA,NA,NA,NA
geometric,50000,0.68811416,0.51435084,0.7474789357626356,NA,NA,NA,NA
gmm_fixed_numclust,5000,53.791441799999994,4.7012166,0.08739711081698504,3.4015832,0.06323651283873935,2.5623416000000003,0.047634744752277684
gmm_variable_numclust,5000,52.6197666,5.1967834,0.0987610499967516,NA,NA,NA,NA
hmm,10000,19.834325,17.476712499999998,0.8811347247763662,1.1805833,0.05952223229174676,NA,NA
hurricane,100000,0.9209491599999999,0.71148167,0.7725526021436406,NA,NA,NA,NA
lda_fixed_numtopic,1000,141.893666,33.277125,0.23452156772100027,13.284875,0.09362556747247619,2.9299999999999997,0.020649265626839185
lda_variable_numtopic,1000,128.57374999999996,18.151833999999997,0.14117838205699065,NA,NA,NA,NA
linear_regression,10000,4.182166700000001,7.7672916999999995,1.8572410564122177,8.0639334,1.9281712036968777,NA,NA
marsaglia,50000,0.8948225,0.7837583400000001,0.8758813507706837,NA,NA,NA,NA
pedestrian,10000,4.3742624999999995,3.8941624999999997,0.8902443554770662,NA,NA,NA,NA
pcfg,10000,7.40615,6.516875,0.8799274926918843,NA,NA,NA,NA
urn,10000,9.5218875,6.9818375,0.7332409146820943,NA,NA,NA,NA
hmm_unrolled,10000,23.820929099999997,1.6553417000000001,0.06949106363781589,NA,NA,NA,NA
aircraft,10000,8.5007834,7.3717667,0.867186746576792,NA,NA,NA,NA
bayesian_network,10000,17.2195125,4.459525,0.2589809090123777,2.8335917,0.1645570221572765,NA,NA
captcha,100,926.92,429.27792,0.4631229448064558,NA,NA,NA,NA
dirichlet_process,1000,64.26625,40.111625,0.6241475891311535,NA,NA,NA,NA
geometric,50000,0.75275166,0.6667316600000001,0.8857259245366528,NA,NA,NA,NA
gmm_fixed_numclust,5000,52.536833200000004,4.8865334,0.09301157116565603,3.6810084,0.07006528897520226,2.6832499999999997,0.051073691285983325
gmm_variable_numclust,5000,52.50424999999999,5.0644584,0.0964580657756277,NA,NA,NA,NA
hmm,10000,20.5767625,18.3856417,0.8935147936902124,1.28825,0.0626070306249586,NA,NA
hurricane,100000,0.9549220900000001,0.75896,0.794787352756705,NA,NA,NA,NA
lda_fixed_numtopic,1000,166.318208,38.389208,0.23081783084146748,16.849083,0.10130630435845005,2.5829999999999997,0.015530470361970227
lda_variable_numtopic,1000,135.418916,18.041583,0.13322793840706862,NA,NA,NA,NA
linear_regression,10000,3.7600209,7.252687500000001,1.9288955282136864,7.898229199999999,2.100581196237499,NA,NA
marsaglia,50000,0.83549332,0.665415,0.7964336567047597,NA,NA,NA,NA
pedestrian,10000,4.694145799999999,4.2828208,0.9123748989645785,NA,NA,NA,NA
pcfg,10000,7.825562499999999,6.732225,0.8602864011372985,NA,NA,NA,NA
urn,10000,9.58355,6.7254458,0.7017697825962195,NA,NA,NA,NA
hmm_unrolled,10000,21.738025,1.7209708000000001,0.07916868252750653,NA,NA,NA,NA
aircraft,10000,9.1650667,7.6671666,0.8365641899801993,NA,NA,NA,NA
bayesian_network,10000,16.7970458,3.7302541000000002,0.22207798588011235,2.6603458,0.15838176734625561,NA,NA
captcha,100,908.54333,380.23292,0.4185082950309041,NA,NA,NA,NA
dirichlet_process,1000,63.679583,40.041624999999996,0.6287984800402979,NA,NA,NA,NA
geometric,50000,0.7173,0.60682666,0.8459872577722013,NA,NA,NA,NA
gmm_fixed_numclust,5000,52.253550000000004,4.4551584,0.08526039666204496,3.2389666,0.06198557992710542,2.347125,0.04491800078654942
gmm_variable_numclust,5000,55.009691600000004,5.402075,0.09820224114835795,NA,NA,NA,NA
hmm,10000,19.5124875,17.9634084,0.9206108857212593,2.88135,0.14766697480267443,NA,NA
hurricane,100000,0.8776679199999999,0.68144125,0.7764226474177158,NA,NA,NA,NA
lda_fixed_numtopic,1000,143.34508300000002,31.905375,0.22257739388242564,14.708041999999999,0.10260583545792078,2.402291,0.016758795974885304
lda_variable_numtopic,1000,140.055375,20.454292,0.14604431996986905,NA,NA,NA,NA
linear_regression,10000,3.7119667,7.0402125,1.8966259853570344,7.6098875,2.05009584272402,NA,NA
marsaglia,50000,0.8415,0.74397082,0.8841007961972668,NA,NA,NA,NA
pedestrian,10000,4.0968791,3.8330333000000003,0.935598343626982,NA,NA,NA,NA
pcfg,10000,6.7146333,6.0465625,0.9005052442700037,NA,NA,NA,NA
urn,10000,8.6251666,6.281529199999999,0.72827917318142,NA,NA,NA,NA
hmm_unrolled,10000,20.0860208,1.5232667,0.07583715635702219,NA,NA,NA,NA
aircraft,10000,7.588866700000001,6.584333400000001,0.8676306568937362,NA,NA,NA,NA
bayesian_network,10000,19.5258167,3.4803624999999996,0.17824414484030263,2.6244791,0.13441072096103412,NA,NA
captcha,100,922.11583,383.82582999999994,0.41624470322779294,NA,NA,NA,NA
dirichlet_process,1000,65.588667,40.206541,0.6130104915838586,NA,NA,NA,NA
geometric,50000,0.6955325,0.54139584,0.7783904274782271,NA,NA,NA,NA
gmm_fixed_numclust,5000,48.9857,4.8863084,0.09974969021571602,3.5114916000000003,0.07168401390609913,2.4833,0.05069438632090589
gmm_variable_numclust,5000,46.607074999999995,4.455841800000001,0.09560440769990396,NA,NA,NA,NA
hmm,10000,18.3108,16.822916600000003,0.9187428512134915,1.1864167,0.06479327500709964,NA,NA
hurricane,100000,0.97229458,0.76888958,0.7907989983858595,NA,NA,NA,NA
lda_fixed_numtopic,1000,132.306541,30.969375,0.23407289440058748,12.590250000000001,0.09515969433438669,2.287125,0.01728656030694658
lda_variable_numtopic,1000,145.58295900000002,22.056292000000003,0.15150325389388464,NA,NA,NA,NA
linear_regression,10000,5.4422083,9.6370459,1.7707969575512206,9.8563542,1.811094624952154,NA,NA
marsaglia,50000,0.90224666,0.7649325,0.8478086247501321,NA,NA,NA,NA
pedestrian,10000,4.3059083,4.177137500000001,0.9700943933246327,NA,NA,NA,NA
pcfg,10000,7.1535083,6.05755,0.8467942925291636,NA,NA,NA,NA
urn,10000,8.8230542,6.4361167,0.7294658464185793,NA,NA,NA,NA
hmm_unrolled,10000,19.895583300000002,1.6130708999999999,0.08107683377144312,NA,NA,NA,NA
aircraft,10000,7.661300000000001,6.6033125,0.8619049639095192,NA,NA,NA,NA
bayesian_network,10000,21.7366958,3.5542,0.16351151217748558,2.6848041,0.12351482142009827,NA,NA
captcha,100,910.12542,365.28917,0.40136135303198106,NA,NA,NA,NA
dirichlet_process,1000,67.52250000000001,40.879541999999994,0.6054210374319671,NA,NA,NA,NA
geometric,50000,0.77597668,0.6566208199999999,0.846186279721705,NA,NA,NA,NA
gmm_fixed_numclust,5000,48.0701166,4.3492584,0.09047738403031043,2.9905582,0.06221241826569649,2.2010668000000004,0.04578867195841169
gmm_variable_numclust,5000,53.798575,5.6088168000000005,0.10425586179559589,NA,NA,NA,NA
hmm,10000,18.2352541,16.684879199999997,0.9149792543883443,1.1802709,0.06472467526515027,NA,NA
hurricane,100000,0.8804912500000001,0.69995208,0.7949563155795131,NA,NA,NA,NA
lda_fixed_numtopic,1000,145.61512500000003,32.947959,0.22626742242607004,14.631959,0.1004837855957614,2.468791,0.016954220930002976
lda_variable_numtopic,1000,123.29529099999999,18.042375,0.14633466415193425,NA,NA,NA,NA
linear_regression,10000,5.432425,10.8306667,1.9937075431322107,10.9805375,2.021295738091184,NA,NA
marsaglia,50000,0.7797550000000001,0.66990918,0.8591277773146693,NA,NA,NA,NA
pedestrian,10000,4.5268333,4.0932334,0.9042156246398559,NA,NA,NA,NA
pcfg,10000,6.8936917,6.134025,0.8898026292646654,NA,NA,NA,NA
urn,10000,8.8761125,6.347424999999999,0.7151131759540001,NA,NA,NA,NA
hmm_unrolled,10000,21.3796084,1.7339208,0.08110161643559383,NA,NA,NA,NA
aircraft,10000,7.670337500000001,6.4760291,0.8442951956155774,NA,NA,NA,NA
bayesian_network,10000,21.9524417,3.4814499999999997,0.1585905589718523,2.7855792,0.12689154300316396,NA,NA
captcha,100,889.03792,365.81625,0.41147429346995684,NA,NA,NA,NA
dirichlet_process,1000,68.63583400000002,42.734249999999996,0.6226230164260842,NA,NA,NA,NA
geometric,50000,0.7194841799999999,0.6498824999999999,0.9032616950660403,NA,NA,NA,NA
gmm_fixed_numclust,5000,50.322433200000006,4.411925,0.08767312547200122,3.219925,0.06398587658118247,2.1914166,0.04354750874804678
gmm_variable_numclust,5000,52.2069416,5.121599999999999,0.09810189685580048,NA,NA,NA,NA
hmm,10000,18.9366041,17.6594292,0.9325552304280366,2.6752208,0.1412724681718408,NA,NA
hurricane,100000,0.88369833,0.67740916,0.7665615482152149,NA,NA,NA,NA
lda_fixed_numtopic,1000,142.53295799999998,32.143917,0.22551918834098714,16.110625,0.11303087528710379,2.674583,0.018764663538379665
lda_variable_numtopic,1000,144.773041,21.034875000000003,0.14529552501421863,NA,NA,NA,NA
linear_regression,10000,6.4113875,12.4030708,1.9345376956236073,12.9918333,2.0263684420883936,NA,NA
marsaglia,50000,0.82316,0.837325,1.0172080761941786,NA,NA,NA,NA
pedestrian,10000,4.0273375,3.8254041,0.9498593301405706,NA,NA,NA,NA
pcfg,10000,6.6538292,6.0178042000000005,0.9044121841901203,NA,NA,NA,NA
urn,10000,8.7076916,5.8533833,0.6722083841370772,NA,NA,NA,NA
hmm_unrolled,10000,21.2918833,1.5894667,0.07465129681600312,NA,NA,NA,NA
