model,none,static,finite,custom
aircraft,8.303089439999999,4.216601666666667,NA,NA
captcha,948.5817079999999,335.915416,NA,NA
dirichlet_process,70.38831669999999,35.222979099999996,NA,NA
geometric,0.665473168,0.531109918,NA,NA
gmm_fixed_numclust,45.703185,3.5885683200000003,3.0612783599999998,2.40359668
gmm_variable_numclust,40.79849836,5.007708320000001,NA,NA
hmm_fixed_seqlen,4.77691833,4.71360875,1.8365175,NA
hmm_variable_seqlen,6.599579169999999,6.11018375,NA,NA
hurricane,0.892754792,0.67727475,NA,NA
lda_fixed_numtopic,165.3764667,25.3852958,12.50315,2.4565542
lda_variable_numtopic,155.4610542,15.390474999999999,NA,NA
linear_regression,3.63377375,6.94918292,6.81119,NA
marsaglia,0.495474334,1.198935,NA,NA
pedestrian,4.53244209,3.986355,NA,NA
urn,8.94503125,5.960907090000001,NA,NA
hmm_fixed_seqlen_unrolled,4.43761708,2.26079334,NA,NA
