model,N,L,none,time_none,static,time_static,rel_static
aircraft,1000,100,7945.808117944094,5.371751167,78.98437782279291,10.199428958,100.59974310073167
bayesian_network,1000,100,414.829670961947,6.285010416,4.368660221122572,11.909048041,94.9558102404568
geometric,1000,100,0.14914306172425376,0.701007084,0.15899976472642616,0.369325042,0.9380080654890793
gmm_fixed_numclust,1000,100,7.993049569561842e9,18.88501325,1.1690722821696969e6,42.356447667,6837.087570605501
hmm,1000,100,2117.0763806506784,7.23379575,1280.267005133957,54.499980209,1.6536209807493747
hurricane,1000,100,0.3371003590286535,0.977255958,0.3616343724576491,0.802023125,0.93215796036681
lda_fixed_numtopic,1000,100,72303.53677307481,50.783581125,1.1709895620387134,313.674200208,61745.6714534612
linear_regression,1000,100,342484.3746347769,1.308680625,341556.225932171,1.450434125,1.0027174111672912
marsaglia,1000,100,0.2678677274177599,1.03243425,0.05641580024771967,0.528359833,4.748097629415211
pcfg,1000,100,0.0077268041528519155,1.312294292,0.011551986405363028,1.233366375,0.6688723377708213
pedestrian,1000,100,3.0853767736989586e6,2.831118833,3.1083997303614705e6,6.042873708,0.9925933088857157
hmm_unrolled,1000,100,2117.0763806506784,7.694881291,2.3499684814287347,11.215819417,900.8956491891064
aircraft,1000,100,7999.784723955036,5.665092542,81.1727231995477,10.902262458,98.55262221878507
bayesian_network,1000,100,416.0039308872157,6.694440417,4.368330039023082,12.487090167,95.23179960556492
geometric,1000,100,0.15931190913577298,0.7146195,0.167025225484242,0.36012825,0.9538194525640874
gmm_fixed_numclust,1000,100,7.782505257208435e9,18.663841666,943167.904248707,43.563885417,8251.452601546798
hmm,1000,100,2114.7210645836944,7.511466667,1281.1394868935015,54.62977775,1.6506563775592118
hurricane,1000,100,0.3347411971279982,0.965274459,0.3609386689342615,0.777558667,0.9274184949935782
lda_fixed_numtopic,1000,100,72276.1427283767,50.965620833,1.1727575131178392,285.921537458,61629.23018606521
linear_regression,1000,100,327057.33397262584,1.31726525,326130.7485956297,1.504396792,1.0028411469356575
marsaglia,1000,100,0.09065314900692453,1.087249166,0.01715190752029734,0.533489583,5.285310039110623
pcfg,1000,100,0.01694492147047868,1.364546125,0.027053421300221793,1.271765042,0.6263504080476416
pedestrian,1000,100,3.077845033319994e6,2.696724417,3.09578018846984e6,4.959357458,0.9942065799062073
hmm_unrolled,1000,100,2114.7210645836944,7.401932625,2.352421391983783,11.1045355,898.9550391736418
aircraft,1000,100,7943.683905633423,5.431523958,77.75074827423943,10.845522458,102.16858463682907
bayesian_network,1000,100,415.79216038883123,6.391619833,4.382659597479654,12.576928125,94.87210930731234
geometric,1000,100,0.15110141939903843,0.730807958,0.1653674550126925,0.379962875,0.9137312985039341
gmm_fixed_numclust,1000,100,6.774138388127916e9,17.424562917,890778.040886392,39.6276395,7604.743356029671
hmm,1000,100,2115.9534295203,7.592473,1281.7790926847729,54.551027,1.6507941513449813
hurricane,1000,100,0.3368644927686876,0.956500083,0.35998665506604993,0.7637555,0.9357693904149865
lda_fixed_numtopic,1000,100,72274.39379294704,52.129619416,1.1706867795280989,326.824120458,61736.74722975917
linear_regression,1000,100,320798.4045528132,1.320564958,319880.0972603713,1.464787,1.0028707859610735
marsaglia,1000,100,0.30866438617090175,1.043681416,0.02499813106922518,0.526667375,12.347498511634488
pcfg,1000,100,0.003848942798997325,1.313332167,0.027764366098776,1.258504916,0.13862887361822415
pedestrian,1000,100,3.137014722650761e6,2.666750542,3.109976171595311e6,5.21109275,1.0086941344767861
hmm_unrolled,1000,100,2115.9534295203,7.249919791,2.3450313779995695,10.602634875,902.313482613318
aircraft,1000,100,7860.655979145599,5.180358667,81.47898706844975,9.539200291,96.47464041915413
bayesian_network,1000,100,416.8371865090551,6.096824875,4.365533507147766,11.727568,95.48367589586934
geometric,1000,100,0.17975187406634746,0.695067917,0.20477513326695662,0.355130416,0.8778012798654249
gmm_fixed_numclust,1000,100,7.547548933457631e9,18.68500475,816823.3078376623,42.390784666,9240.124346399836
hmm,1000,100,2115.8674738921964,7.149031083,1278.0148290301918,51.27080025,1.6555891417142634
hurricane,1000,100,0.3359159908266131,0.965792542,0.3608265450126875,0.770387042,0.9309625233221173
lda_fixed_numtopic,1000,100,72301.3952416695,49.979498458,1.1735811875095812,281.398408708,61607.49338109105
linear_regression,1000,100,331606.2360602713,1.425382416,330702.40470136865,1.770426917,1.0027330655781557
marsaglia,1000,100,0.06718528934443424,1.02633075,0.013253518779087948,0.516112667,5.069241645504927
pcfg,1000,100,0.0015348230440199286,1.2949065,0.00568144535126972,1.268999875,0.27014658227363186
pedestrian,1000,100,3.090779400324735e6,2.718384125,3.0771367521110983e6,5.640529334,1.0044335527838588
hmm_unrolled,1000,100,2115.8674738921964,7.175497166,2.3462883071722898,10.812782417,901.7934698921152
aircraft,1000,100,7901.866007987778,5.444009083,79.79165408483901,10.829896625,99.0312345146532
bayesian_network,1000,100,415.99383263606757,6.730344292,4.385404592222651,12.538359708,94.85871232356004
geometric,1000,100,0.1569813541449951,0.727130458,0.1633657715542995,0.379712167,0.9609194915889566
gmm_fixed_numclust,1000,100,6.909930689052095e9,17.514244792,1.0479817379195679e6,43.70619675,6593.560211048668
hmm,1000,100,2116.655240165538,6.7710985,1278.9957194494355,45.754052167,1.654935359030511
hurricane,1000,100,0.33610976298471457,1.013171833,0.3611940363070905,0.858335,0.930551806505883
